Tag,LocatorName,LocatorValue,LocatorType
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[6]/div/div[3]/button[1]/span,Xpath
button,,/html/body/div[4]/div/div/div[2]/form/div/div/div[6]/div/div[3]/button[2],Xpath
button,,/html/body/div[4]/div/div/div[2]/form/div/div/div[6]/button,Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[6]/button/span[1],Xpath
span,,/html/body/div[4]/div/div/div[2]/form/div/div/div[6]/button/span[2],Xpath
p,,/html/body/div[4]/div/div/div[2]/form/div/div/div[6]/p[2],Xpath
div,,/html/body/div[4]/div/div/div[3],Xpath
button,,/html/body/div[4]/div/div/div[3]/button,Xpath
nav,narvbarx,//nav[@id='narvbarx'],Xpath
button,,/html/body/nav/button,Xpath
span,,/html/body/nav/button/span,Xpath
a,nava,//a[@id='nava'],Xpath
img,,/html/body/nav/a/img,Xpath
div,navbarExample,//div[@id='navbarExample'],Xpath
ul,,/html/body/nav/div[1]/ul,Xpath
li,,/html/body/nav/div[1]/ul/li[1],Xpath
a,"Home
(current)","//a[contains(text(), 'Home
(current)')]",Xpath
span,,/html/body/nav/div[1]/ul/li[1]/a/span,Xpath
li,,/html/body/nav/div[1]/ul/li[2],Xpath
a,Contact,"//a[contains(text(), 'Contact')]",Xpath
li,,/html/body/nav/div[1]/ul/li[3],Xpath
a,About us,"//a[contains(text(), 'About us')]",Xpath
li,,/html/body/nav/div[1]/ul/li[4],Xpath
a,cartur,//a[@id='cartur'],Xpath
li,,/html/body/nav/div[1]/ul/li[5],Xpath
a,login2,//a[@id='login2'],Xpath
li,,/html/body/nav/div[1]/ul/li[6],Xpath
a,logout2,//a[@id='logout2'],Xpath
li,,/html/body/nav/div[1]/ul/li[7],Xpath
a,nameofuser,//a[@id='nameofuser'],Xpath
li,,/html/body/nav/div[1]/ul/li[8],Xpath
a,signin2,//a[@id='signin2'],Xpath
div,contcar,//div[@id='contcar'],Xpath
div,carouselExampleIndicators,//div[@id='carouselExampleIndicators'],Xpath
ol,,/html/body/nav/div[2]/div/ol,Xpath
li,,/html/body/nav/div[2]/div/ol/li[1],Xpath
li,,/html/body/nav/div[2]/div/ol/li[2],Xpath
li,,/html/body/nav/div[2]/div/ol/li[3],Xpath
div,,/html/body/nav/div[2]/div/div,Xpath
div,,/html/body/nav/div[2]/div/div/div[1],Xpath
img,,/html/body/nav/div[2]/div/div/div[1]/img,Xpath
div,,/html/body/nav/div[2]/div/div/div[2],Xpath
img,,/html/body/nav/div[2]/div/div/div[2]/img,Xpath
div,,/html/body/nav/div[2]/div/div/div[3],Xpath
img,,/html/body/nav/div[2]/div/div/div[3]/img,Xpath
a,Previous,"//a[contains(text(), 'Previous')]",Xpath
span,,/html/body/nav/div[2]/div/a[1]/span[1],Xpath
span,,/html/body/nav/div[2]/div/a[1]/span[2],Xpath
a,Next,"//a[contains(text(), 'Next')]",Xpath
span,,/html/body/nav/div[2]/div/a[2]/span[1],Xpath
